Name,Structure Graph ID,ID,Ea (J/mol),A,RT_conductivity (S/m),SMILES,Cation Name,Anion Name,Cation SMILES,Anion SMILES,reference,source
1-pentylpyridinium bis(trifluoromethylsulfonyl)amide,ABenjQ,MTSIu,30029.80559,39325.13211,0.215468172,CCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-pentylpyridinium,bis(trifluoromethylsulfonyl)amide,CCCCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Liu, Q.; Yan, P.; Yang, M.; Tan, Z.-C.; Li, C.; Welz, B. U. (2011) Acta Phys. Chim. Sin. 27(12), 2762-2766.",synthesized by the authors
1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,ABcDLM,ktnjv,28754.29882,33944.04912,0.311134476,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium,bis[(trifluoromethyl)sulfonyl]imide,CCCC[N+]1=CC=CC=C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Liu, Q.; Yan, P.; Yang, M.; Tan, Z.-C.; Li, C.; Welz, B. U. (2011) Acta Phys. Chim. Sin. 27(12), 2762-2766.",synthesized by the authors
1-hexylpyridinium bis(trifluromethylsulfonyl)imide,ABhYBm,yPgjy,32435.6976,77950.92894,0.161814239,CCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexylpyridinium,bis(trifluromethylsulfonyl)imide,CCCCCC[N+]1=CC=CC=C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Liu, Q.-S.; Yang, M.; Li, P.-P.; Sun, S.-S.; Welz-Biermann, U.; Tan, Z.-C.; Zhang, Q.-G. (2011) J. Chem. Eng. Data 56(11), 4094-4101.",synthesized by the authors
1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,ABZTYy,qWcFS,23410.64346,9403.529757,0.744209826,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)F,1-ethyl-4-methylpyridinium,bis((trifluoromethyl)sulfonyl)amide,CC[n+]1ccc(C)cc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)F,"Liu, Q.-S.; Li, P.-P.; Welz-Biermann, U.; Liu, X.-X.; Chen, J. (2012) J. Chem. Eng. Data 57(11), 2999-3004.",synthesized by the authors
3-(2-(butylamino)-2-oxoethyl)-1-ethyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,ABqQfg,AKBAd,51532.99242,23021635.96,0.021549845,CCCCNC(=O)C[n+]1ccn(CC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-(2-(butylamino)-2-oxoethyl)-1-ethyl-1H-imidazolium,bis((trifluoromethyl)sulfonyl)amide,CCCCNC(=O)C[n+]1ccn(CC)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Liu, Q.-S.; Li, Z.; Welz-Biermann, U.; Li, C.-P.; Liu, X.-X. (2013) J. Chem. Eng. Data 58(1), 93-98.",synthesized by the authors
triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,ABrFsY,KrTCY,29304.10064,10071.19092,0.073950114,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium,bis[(trifluoromethyl)sulfonyl]imide,CCCCCCCC[N+](CC)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Machanova, K.; Boisset, A.; Sedlakova, Z.; Anouti, M.; Bendova, M.; Jacquemin, J. (2012) J. Chem. Eng. Data 57(8), 2227-2235.",commercial source
"N,N-dimethyl-N-ethyl-N-pentylammonium bis(trifluoromethylsulfonyl)",ABdgRL,DRKhB,34962.40639,167322.1508,0.125332592,CCCCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethyl-N-ethyl-N-pentylammonium",bis(trifluoromethylsulfonyl),CCCCC[N+](C)(C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Makino, T.; Kanakubo, M.; Umecky, T.; Suzuki, A. (2013) J. Chem. Eng. Data 58(2), 370-376.",synthesized by the authors
"2-(acetyloxy)-N-ethyl-N,N-dimethylethanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",ABgjVS,RXAcp,39990.09013,920410.1376,0.090704927,CC[N+](C)(C)CCOC(C)=O.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"2-(acetyloxy)-N-ethyl-N,N-dimethylethanaminium","1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",CC[N+](C)(C)CCOC(C)=O,C(F)(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,"Makino, T.; Kanakubo, M.; Umecky, T.; Suzuki, A. (2013) J. Chem. Eng. Data 58(2), 370-376.",synthesized by the authors
"N-ethyl-N,N-dimethylheptanaminium bis((trifluoromethyl)sulfonyl)amide",ABjAkD,GdAjb,36867.82714,211046.5366,0.073291728,CCCCCCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N-ethyl-N,N-dimethylheptanaminium",bis((trifluoromethyl)sulfonyl)amide,CCCCCCC[N+](C)(C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Makino, T.; Kanakubo, M.; Umecky, T.; Suzuki, A. (2013) J. Chem. Eng. Data 58(2), 370-376.",synthesized by the authors
"N-ethyl-2-(2-methoxyethoxy)-N,N-dimethylethanaminium bis(trifluoromethylsulfonyl)imide",ABjozj,juzGa,29058.24295,28955.43051,0.234780944,CC[N+](C)(C)CCOCCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N-ethyl-2-(2-methoxyethoxy)-N,N-dimethylethanaminium",bis(trifluoromethylsulfonyl)imide,CC[N+](C)(C)CCOCCOC,C(F)(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,"Makino, T.; Kanakubo, M.; Umecky, T.; Suzuki, A. (2013) J. Chem. Eng. Data 58(2), 370-376.",synthesized by the authors
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,ABXNZH,eTKKJ,21946.40265,6014.199018,0.859251816,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-ethyl-3-methylimidazolium,bis((trifluoromethyl)sulfonyl)imide,CCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1C)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"Makino, T.; Kanakubo, M.; Masuda, Y.; Umecky, T.; Suzuki, A. (2014) Fluid Phase Equilib. 362, 300.",synthesized by the authors
1-(2-hydroxyethyl)-pyridinium bis(trifluoromethylsulfonyl)imide,ABZmbL,gYTPn,35143.22363,293761.5724,0.204562486,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.OCC[n+]1ccccc1,1-(2-hydroxyethyl)-pyridinium,bis(trifluoromethylsulfonyl)imide,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C(F)(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,"Makinoa, T.; Kanakuboa, M.; Umecky, T.; Suzuki, A. (2013) Fluid Phase Equilib. 357, 64-70.",commercial source
"3,3'-(propane-1,3-diyl)bis(1-methyl-1H-imidazol-3-ium) bis((trifluoromethyl)sulfonyl)amide",ACrVWg,lfOhF,38185.67688,278888.8886,0.05691383,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"3,3'-(propane-1,3-diyl)bis(1-methyl-1H-imidazol-3-ium)",bis((trifluoromethyl)sulfonyl)amide,Cn1cc[n+](CCC[n+]2ccn(C)c2)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Moosavi, M.; Khashei, F.; Sharifi, A.; Mirzaei, M. (2016) Ind. Eng. Chem. Res. 55, 9087-9099.",synthesized by the authors
"3,3'-(1,5-pentanediyl)bis[1-methylimidazolium] 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",ACwqXQ,mucly,36928.25092,192578.4805,0.065267671,C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)F,"3,3'-(1,5-pentanediyl)bis[1-methylimidazolium]","1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",C[n+]1ccn(CCCCCn2cc[n+](C)c2)c1,C(F)(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,"Moosavi, M.; Khashei, F.; Sharifi, A.; Mirzaei, M. (2016) Ind. Eng. Chem. Res. 55, 9087-9099.",synthesized by the authors
1-butyl-3-methylimidazolium tetrafluoroborate,AArYBF,TNZgX,34613.85602,193497.0456,0.166821376,[B-](F)(F)(F)F.CCCCN1C=C[N+](=C1)C,1-butyl-3-methylimidazolium,tetrafluoroborate,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,"Nikitina, V. A.; Nazet, A.; Sonnleitner, T.; Buchner, R. (2012) J. Chem. Eng. Data 57(11), 3019-3025.",commercial source
1-butylpyridinium tetrafluoroborate,AAquMR,jndDM,38826.66288,916397.634,0.144400409,[B-](F)(F)(F)F.CCCC[N+]1=CC=CC=C1,1-butylpyridinium,tetrafluoroborate,CCCC[N+]1=CC=CC=C1,[B-](F)(F)(F)F,"Noda, A.; Hayamizu, K.; Watanabe, M. (2001) J. Phys. Chem. B 105, 4603-4610.",synthesized by the authors
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,ABXNZH,rvXkw,25742.81487,25535.60007,0.788767625,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-ethyl-3-methylimidazolium,bis((trifluoromethyl)sulfonyl)imide,CCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1C)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"Schreiner, C.; Zugmann, S.; Hartl, R.; Gores, H. J. (2010) J. Chem. Eng. Data 55(5), 1784-1788.",synthesized by the authors
1-butyl-3-methylimidazolium difluorobis(trifluoroacetato)borate,ABbgOd,Ilxaj,31006.10194,119099.4808,0.440122496,CCCCn1cc[n+](C)c1.O=C([O-]->[Ba+2](F)(F)<-[O-]C(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium,difluorobis(trifluoroacetato)borate,CCCCN1C=C[N+](=C1)C,O=C([O-]->[Ba+2](F)(F)<-[O-]C(=O)C(F)(F)F)C(F)(F)F,"Schreiner, C.; Zugmann, S.; Hartl, R.; Gores, H. J. (2010) J. Chem. Eng. Data 55(10), 4372-4377.",synthesized by the authors
"2-hydroxy-N,N,N-trimethylethanaminium L-serinate",AAoCFs,IvqqW,69028.88592,1168127111.0,0.000940762,C[N+](C)(C)CCO.C(C(C(=O)[O-])N)O,"2-hydroxy-N,N,N-trimethylethanaminium",L-serinate,C[N+](C)(C)CCO,C(C(C(=O)[O-])N)O,"Tao, D.-J.; Cheng, Z.; Chen, F.-F.; Li, Z.-M.; Hu, N.; Chen, X.-S. (2013) J. Chem. Eng. Data 58(6), 1542-1548.",synthesized by the authors
"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",AApyQt,lKbyJ,83819.3646,44017875462.0,9.08e-05,C[N+](C)(C)CCO.C1CC(NC1)C(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium",L-prolinate,C[N+](C)(C)CCO,C1CC(NC1)C(=O)[O-],"Tao, D.-J.; Cheng, Z.; Chen, F.-F.; Li, Z.-M.; Hu, N.; Chen, X.-S. (2013) J. Chem. Eng. Data 58(6), 1542-1548.",synthesized by the authors
"2-hydroxy-N,N,N-trimethylethanaminium .beta.-alaninate",AAkyBi,amVtg,68973.36632,1331555992.0,0.00109667,C[N+](C)(C)CCO.NCCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium",.beta.-alaninate,C[N+](C)(C)CCO,NCCC(=O)[O-],"Tao, D.-J.; Cheng, Z.; Chen, F.-F.; Li, Z.-M.; Hu, N.; Chen, X.-S. (2013) J. Chem. Eng. Data 58(6), 1542-1548.",synthesized by the authors
"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",AAkyNk,mWiBR,55576.09817,19917308.29,0.003649032,C[N+](C)(C)CCO.CC(C(=O)[O-])N,"2-hydroxy-N,N,N-trimethylethanaminium",L-alaninate,C[N+](C)(C)CCO,CC(C(=O)[O-])N,"Tao, D.-J.; Cheng, Z.; Chen, F.-F.; Li, Z.-M.; Hu, N.; Chen, X.-S. (2013) J. Chem. Eng. Data 58(6), 1542-1548.",synthesized by the authors
"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AAiOjp,fEIaQ,48246.80479,2228347.209,0.007853044,C[N+](C)(C)CCO.C(C(=O)[O-])N,"2-hydroxy-N,N,N-trimethylethanaminium",glycinate,C[N+](C)(C)CCO,C(C(=O)[O-])N,"Tao, D.-J.; Cheng, Z.; Chen, F.-F.; Li, Z.-M.; Hu, N.; Chen, X.-S. (2013) J. Chem. Eng. Data 58(6), 1542-1548.",synthesized by the authors
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,ABchwx,ZXzBM,26983.41676,17655.6729,0.330621537,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,"Tokuda, H.; Hayamizu, K.; Ishii, K.; Susan, M. A. B. H.; Watanabe, M. (2005) J. Phys. Chem. B 109(13), 6103-6110.",synthesized by the authors
1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,ABnWNT,Fwzjx,32184.18473,48620.78281,0.111707668,CCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-methyl-3-octylimidazolium,bis(trifluoromethylsulfonyl)imide,CCCCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,"Tokuda, H.; Hayamizu, K.; Ishii, K.; Susan, M. A. B. H.; Watanabe, M. (2005) J. Phys. Chem. B 109(13), 6103-6110.",synthesized by the authors
1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,ABiCtA,QzrrB,29883.19966,32568.87224,0.189322109,CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium,bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Tokuda, H.; Hayamizu, K.; Ishii, K.; Susan, M. A. B. H.; Watanabe, M. (2005) J. Phys. Chem. B 109(13), 6103-6110.",synthesized by the authors
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,ABXNZH,Ibbin,21667.35083,5068.056556,0.810353664,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-ethyl-3-methylimidazolium,bis((trifluoromethyl)sulfonyl)imide,CCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1C)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"Tokuda, H.; Hayamizu, K.; Ishii, K.; Susan, M. A. B. H.; Watanabe, M. (2005) J. Phys. Chem. B 109(13), 6103-6110.",synthesized by the authors
"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",ABUcyg,AdNgu,22975.94932,8254.974645,0.77853761,Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,3-dimethylimidazolium",bis((trifluoromethyl)sulfonyl)amide,CN1C=C[N+](=C1)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Tokuda, H.; Hayamizu, K.; Ishii, K.; Susan, M. A. B. H.; Watanabe, M. (2005) J. Phys. Chem. B 109(13), 6103-6110.",synthesized by the authors
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,ABYLZx,HmtGt,32356.41749,79513.63602,0.170422567,CCCC[N+](C)(C)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,butyltrimethylammonium,bis(trifluoromethylsulfonyl)imide,CCCC[N+](C)(C)C,C(F)(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,"Tokuda, H.; Ishii, K.; Susan, M. A. B. H.; Tsuzuki, S.; Hayamizu, K.; Watanabe, M. (2006) J. Phys. Chem. B 110(6), 2833-2839.",synthesized by the authors
1-butyl-1-methylpyrrolidinium bis(fluorosulfonyl)amide,ABJzqe,CUpTp,28850.28233,26852.39346,0.236783247,CCCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,1-butyl-1-methylpyrrolidinium,bis(fluorosulfonyl)amide,CCCC[N+]1(CCCC1)C,O=S(=O)(F)[N-]S(=O)(=O)F,"Tokuda, H.; Ishii, K.; Susan, M. A. B. H.; Tsuzuki, S.; Hayamizu, K.; Watanabe, M. (2006) J. Phys. Chem. B 110(6), 2833-2839.",synthesized by the authors
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,ABchwx,ObCCT,27020.44321,17915.09662,0.330505665,CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-butyl-3-methylimidazolium,bis(trifluoromethylsulfonyl)imide,CCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,"Tokuda, H.; Ishii, K.; Susan, M. A. B. H.; Tsuzuki, S.; Hayamizu, K.; Watanabe, M. (2006) J. Phys. Chem. B 110(6), 2833-2839.",synthesized by the authors
1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,ABcDLM,TTDIu,28791.43854,30203.82958,0.272734163,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butylpyridinium,bis[(trifluoromethyl)sulfonyl]imide,CCCC[N+]1=CC=CC=C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Tokuda, H.; Ishii, K.; Susan, M. A. B. H.; Tsuzuki, S.; Hayamizu, K.; Watanabe, M. (2006) J. Phys. Chem. B 110(6), 2833-2839.",synthesized by the authors
"N,N-dimethylpropionamidium bis(trifluoromethanesulfonyl)amide",ABVajc,dIiKP,31626.96925,70909.66786,0.203982003,CCC(=O)[NH+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylpropionamidium",bis(trifluoromethanesulfonyl)amide,CCC(=O)[NH+](C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Watanabe, M.; Kodama, D.; Makino, T.; Kanakubo, M. (2016) J. Chem. Eng. Data 61(12), 4215-4221.",synthesized by the authors
3-(3-cyanopropyl)-1-methylimidazolium trifluoromethanesulfonate,ABFcpW,UZEvq,40121.82263,494303.2617,0.046191615,Cn1cc[n+](CCCC#N)c1.O=S(=O)([O-])C(F)(F)F,3-(3-cyanopropyl)-1-methylimidazolium,trifluoromethanesulfonate,Cn1cc[n+](CCCC#N)c1,C(F)(F)(F)S(=O)(=O)[O-],"Wei, Y.; Guan, X.; Feng, S.; Zhang, Q.; Fang, D.; Zhang, X. (2022) J. Mol. Liq. 364, 120052.",commercial source
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,ABXNZH,NvOWj,40050.97179,5510130.243,0.529840012,CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,1-ethyl-3-methylimidazolium,bis((trifluoromethyl)sulfonyl)imide,CCN1C=C[N+](=C1)C,CCCCN1C=C[N+](=C1C)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,"Yambou, E. P.; Gorska, B.; Beguin, F. (2020) J. Mol. Liq. 298, 111959.",commercial source
1-metyl-3-propylimidazolium hydrogen carbonate,AAjqak,mXiGw,12636.86351,98.65394227,0.602710218,CCCn1cc[n+](C)c1.O=C([O-])O,1-metyl-3-propylimidazolium,hydrogen,CCCn1cc[n+](C)c1,[HH],"Zhang, Q.; Lan, Y.; Liu, H.; Zhang, X.; Zhang, X.; Wei, Y. (2016) J. Chem. Eng. Data 61(6), 2002-2012.",synthesized by the authors
1-methyl-3-propylimidazolium dihydrogen phosphate,AAqlOz,HNtBz,17813.02348,809.6942595,0.612972114,CCCn1cc[n+](C)c1.O=P([O-])(O)O,1-methyl-3-propylimidazolium,dihydrogen,CCCn1cc[n+](C)c1,[HH],"Zhang, Q.; Lan, Y.; Liu, H.; Zhang, X.; Zhang, X.; Wei, Y. (2016) J. Chem. Eng. Data 61(6), 2002-2012.",synthesized by the authors
1-butyl-3-methylimidazolium dihydrogen phosphate,AAtWmz,KLJon,19888.284,1272.794711,0.4171458,CCCCN1C=C[N+](=C1)C.OP(=O)(O)[O-],1-butyl-3-methylimidazolium,dihydrogen,CCCCN1C=C[N+](=C1)C,[HH],"Zhang, Q.; Lan, Y.; Liu, H.; Zhang, X.; Zhang, X.; Wei, Y. (2016) J. Chem. Eng. Data 61(6), 2002-2012.",synthesized by the authors
1-methyl-3-pentylimidazolium dihydrogen phosphate,AAwGsM,bvUJo,24005.27863,3884.391717,0.24185003,CCCCCn1cc[n+](C)c1.O=P([O-])(O)O,1-methyl-3-pentylimidazolium,dihydrogen,CCCCCn1cc[n+](C)c1,[HH],"Zhang, Q.; Lan, Y.; Liu, H.; Zhang, X.; Zhang, X.; Wei, Y. (2016) J. Chem. Eng. Data 61(6), 2002-2012.",synthesized by the authors
1-ethyl-3-methylimidazolium decyl sulfate,ABPBqN,GpnVM,34529.73017,48965.0659,0.043671965,CCCCCCCCCCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,1-ethyl-3-methylimidazolium,decyl,CCN1C=C[N+](=C1)C,CCn1cc[n+](C)c1,"Cabeza, O.; Rilo, E.; Segade, L.; Dominguez-Perez, M.; Garcia-Garabal, S.; Ausin, D.; Lopez-Lago, E.; Varela, L. M.; Vilas, M.; Verdia, P.; Tojo, E. (2018) Mater. Chem. Front. 2(3), 505-513.",synthesized by the authors
1-butyl-3-methylimidazolium thiocyanate,AAlxZE,HMHlX,27017.84754,34126.64881,0.630243193,CCCCN1C=C[N+](=C1)C.C(#N)[S-],1-butyl-3-methylimidazolium,thiocyanate,CCCCN1C=C[N+](=C1)C,C(#N)[S-],"Cabeza, O.; Segade, L.; Dominguez-Perez, M.; Rilo, E.; Ausin, D.; Seijas, J. A.; Vazquez-Tato, M. P.; Matleev, V.; Ievlev, A.; Salgado, J.; Varela, L. M. (2021) J. Mol. Liq. 340, 117164.",commercial source
1-ethyl-3-methylimidazolium iodide,AAtodn,tRwXo,20307.57912,2880.691114,0.797195415,CCN1C=C[N+](=C1)C.[I-],1-ethyl-3-methylimidazolium,iodide,CCN1C=C[N+](=C1)C,[I-],"Every, H. A.; Bishop, A. G.; MacFarlane, D. R.; Oradd, G.; Forsyth, M. (2004) Phys. Chem. Chem. Phys. 6(8), 1758-1765.",synthesized by the authors
1-ethyl-3-methylimidazolium bromide,AAkmTS,uMVQt,36518.001,595140.9574,0.238005433,CCN1C=C[N+](=C1)C.[Br-],1-ethyl-3-methylimidazolium,bromide,CCN1C=C[N+](=C1)C,[Br-],"Every, H. A.; Bishop, A. G.; MacFarlane, D. R.; Oradd, G.; Forsyth, M. (2004) Phys. Chem. Chem. Phys. 6(8), 1758-1765.",synthesized by the authors
N-butylimidazolium trifluoromethanesulfonate,ABAmzS,GMmCz,23365.66566,2384.930519,0.192203121,CCCC[n+]1cc[nH]c1.O=S(=O)([O-])C(F)(F)F,N-butylimidazolium,trifluoromethanesulfonate,CCCC[n+]1cc[nH]c1,C(F)(F)(F)S(=O)(=O)[O-],"Fadeeva, Yu.A.; Gruzdev, M.S.; Kudryakova, N.O.; Shmukler, L.E.; Safonova, L.P. (2020) J. Mol. Liq. 297, 111305.",synthesized by the authors
1-butyl-3-methylimidazolium hexafluoroantimonate,ABUFEH,NmFfh,27665.67894,18844.89029,0.267982643,CCCCN1C=C[N+](=C1)C.F[Sb-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium,hexafluoroantimonate,CCCCN1C=C[N+](=C1)C,F[Sb-](F)(F)(F)(F)F,"Fang, Da-Wei; Xia, Mei-Chen; Zuo, Jian-tao; Zhou, Zhong-kai; Li, Jun; Yang, Jia-zhen (2019) J. Chem. Thermodyn. 131, 360-368.",synthesized by the authors
"N,N-diethyl-2-methoxy-N-methylethan-1-aminium trifluoro(trifluoromethyl)borate",ABCWvy,WxyRp,30618.9726,60287.43926,0.260445248,CC[N+](C)(CC)CCOC.F[B-](F)(F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium",trifluoro(trifluoromethyl)borate,CC[N+](C)(CC)CCOC,F[B-](F)(F)C(F)(F)F,"Hayamizu, K.; Tsuzuki, S.; Seki, S. (2014) J. Chem. Eng. Data 59(6), 1944-1954.",commercial source
1-butyl-1-methylpiperidinium phenyltrifluoroborate,ABFwkT,zdEKp,48255.19486,7194467.167,0.025268755,CCCC[N+]1(C)CCCCC1.F[B-](F)(F)c1ccccc1,1-butyl-1-methylpiperidinium,phenyltrifluoroborate,CCCC[N+]1(CCCCC1)C,F[B-](F)(F)c1ccccc1,"Iwasaki, K.; Yoshii, K.; Tsuda, T.; Kuwabata, S. (2017) J. Mol. Liq. 246, 236-243.",synthesized by the authors
1-butyl-1-methylpyrrolidinium phenyltrifluoroborate,ABDLNl,qOsMv,34149.00631,118650.3892,0.123392626,CCCC[N+]1(C)CCCC1.F[B-](F)(F)c1ccccc1,1-butyl-1-methylpyrrolidinium,phenyltrifluoroborate,CCCC[N+]1(CCCC1)C,F[B-](F)(F)c1ccccc1,"Iwasaki, K.; Yoshii, K.; Tsuda, T.; Kuwabata, S. (2017) J. Mol. Liq. 246, 236-243.",synthesized by the authors
1-butylpyridinium phenyltrifluoroborate,ABCDGm,NWEIQ,30965.63585,47790.33385,0.179512011,CCCC[n+]1ccccc1.F[B-](F)(F)c1ccccc1,1-butylpyridinium,phenyltrifluoroborate,CCCC[N+]1=CC=CC=C1,F[B-](F)(F)c1ccccc1,"Iwasaki, K.; Yoshii, K.; Tsuda, T.; Kuwabata, S. (2017) J. Mol. Liq. 246, 236-243.",synthesized by the authors
1-ethyl-3-methylimidazolium phenyltrifluoroborate,AAxMCQ,BwTaS,24366.60209,10755.40747,0.578822415,CCn1cc[n+](C)c1.F[B-](F)(F)c1ccccc1,1-ethyl-3-methylimidazolium,phenyltrifluoroborate,CCN1C=C[N+](=C1)C,F[B-](F)(F)c1ccccc1,"Iwasaki, K.; Yoshii, K.; Tsuda, T.; Kuwabata, S. (2017) J. Mol. Liq. 246, 236-243.",synthesized by the authors
